Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino
Austria,AUT,2021-09-10,7376806,1016747,1593650,279954,0,0,0,0
Austria,AUT,2021-09-17,7435626,1020662,1594988,291217,0,0,0,0
Austria,AUT,2021-09-24,7488841,1022867,1596448,304771,0,0,0,0
Austria,AUT,2021-10-01,7538499,1025352,1597441,312007,0,0,0,0
Austria,AUT,2021-10-08,7589590,1027819,1598221,315874,0,0,0,0
Austria,AUT,2021-10-15,7636068,1030129,1598914,318366,0,0,0,0
Austria,AUT,2021-10-19,7647124,1030619,1599114,318881,0,0,0,0
Belgium,BEL,2021-01-08,28069,0,0,0,0,0,0,0
Belgium,BEL,2021-01-15,126966,38,0,0,0,0,0,0
Belgium,BEL,2021-01-22,244795,4512,0,0,0,0,0,0
Belgium,BEL,2021-01-29,334533,6207,0,0,0,0,0,0
Belgium,BEL,2021-02-05,463692,15981,0,0,0,0,0,0
Belgium,BEL,2021-02-12,599318,25582,371,0,0,0,0,0
Belgium,BEL,2021-02-19,700034,30387,10807,0,0,0,0,0
Belgium,BEL,2021-02-26,788731,32863,45386,0,0,0,0,0
Belgium,BEL,2021-03-05,877887,51727,110181,0,0,0,0,0
Belgium,BEL,2021-03-12,974422,67662,191405,0,0,0,0,0
Belgium,BEL,2021-03-19,1084886,90144,351281,0,0,0,0,0
Belgium,BEL,2021-03-26,1281628,100488,462002,0,0,0,0,0
Belgium,BEL,2021-04-02,1540448,128311,522047,0,0,0,0,0
Belgium,BEL,2021-04-09,1858681,175582,601781,0,0,0,0,0
Belgium,BEL,2021-04-16,2136158,210219,782719,0,0,0,0,0
Belgium,BEL,2021-04-23,2453397,261625,839690,0,0,0,0,0
Belgium,BEL,2021-04-30,2809419,288699,905215,3034,0,0,0,0
Belgium,BEL,2021-05-07,3361690,346615,1008035,23949,0,0,0,0
Belgium,BEL,2021-05-14,3813423,401165,1101125,29716,0,0,0,0
Belgium,BEL,2021-05-21,4182627,503042,1368076,50248,0,0,0,0
Belgium,BEL,2021-05-28,4624793,577403,1468053,74035,0,0,0,0
Belgium,BEL,2021-06-04,5323739,653711,1571475,97856,0,0,0,0
Belgium,BEL,2021-06-11,6077466,740052,1758541,144144,0,0,0,0
Belgium,BEL,2021-06-18,6790716,846360,1893507,213554,0,0,0,0
Belgium,BEL,2021-06-25,7450994,958988,1962769,244540,0,0,0,0
Belgium,BEL,2021-07-02,7920326,1042538,2062706,268024,0,0,0,0
Belgium,BEL,2021-07-09,8454565,1104141,2289837,283115,0,0,0,0
Belgium,BEL,2021-07-16,8962504,1158878,2444307,301209,0,0,0,0
Belgium,BEL,2021-07-23,9514743,1212436,2550593,311844,0,0,0,0
Belgium,BEL,2021-07-30,10024000,1243401,2642034,321097,0,0,0,0
Belgium,BEL,2021-08-06,10382348,1266886,2702629,330250,0,0,0,0
Belgium,BEL,2021-08-13,10533546,1284230,2815703,337551,0,0,0,0
Belgium,BEL,2021-08-20,10632762,1295667,2825284,343609,0,0,0,0
Belgium,BEL,2021-08-27,10704645,1303418,2828771,349332,0,0,0,0
Belgium,BEL,2021-09-03,10757860,1312616,2831208,355221,0,0,0,0
Belgium,BEL,2021-09-10,10799157,1318904,2832182,360035,0,0,0,0
Belgium,BEL,2021-09-17,10834734,1324659,2833069,366471,0,0,0,0
Belgium,BEL,2021-09-24,10875128,1328305,2833625,373162,0,0,0,0
Belgium,BEL,2021-10-01,10913597,1333009,2833931,378028,0,0,0,0
Belgium,BEL,2021-10-08,10942916,1334805,2834038,381814,0,0,0,0
Belgium,BEL,2021-10-15,10970634,1336942,2834156,384974,0,0,0,0
Belgium,BEL,2021-10-19,10971903,1337359,2834158,385142,0,0,0,0
Bulgaria,BGR,2021-01-01,0,0,0,0,0,0,0,0
Bulgaria,BGR,2021-01-08,13473,0,0,0,0,0,0,0
Bulgaria,BGR,2021-01-15,17962,491,0,0,0,0,0,0
Bulgaria,BGR,2021-01-22,25300,843,0,0,0,0,0,0
Bulgaria,BGR,2021-01-29,40072,1053,0,0,0,0,0,0
Bulgaria,BGR,2021-02-05,54821,2207,10,0,0,0,0,0
Bulgaria,BGR,2021-02-12,70020,3333,2035,0,0,0,0,0
Bulgaria,BGR,2021-02-19,83960,6446,28947,0,0,0,0,0
Bulgaria,BGR,2021-02-26,104340,10475,97630,0,0,0,0,0
Bulgaria,BGR,2021-03-05,129880,14820,143932,0,0,0,0,0
Bulgaria,BGR,2021-03-12,147683,16988,174209,0,0,0,0,0
Bulgaria,BGR,2021-03-19,168956,20921,179029,0,0,0,0,0
